key,source,target
DC/Text_DesignData_Item_Item_Armet_6001,Armet,Армет
DC/Text_DesignData_Item_Item_Armet_7001,Armet,Армет
DC/Text_DesignData_Item_Item_ArmingSword_1001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_2001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_3001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_4001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_5001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_6001,Arming Sword,Піхотний меч
DC/Text_DesignData_Item_Item_ArmingSword_7001,Kuma’s Claw,Піхотний меч
DC/Text_DesignData_Item_Item_Arrow_2001,Arrow,Стріла
DC/Text_DesignData_Item_Item_AxeOfRighteousness_3001,Axe of Righteousness,Сокира Праведності
DC/Text_DesignData_Item_Item_BadgerPendant_3001,Badger Pendant,Підвіска борсука
DC/Text_DesignData_Item_Item_BadgerPendant_4001,Badger Pendant,Підвіска борсука
DC/Text_DesignData_Item_Item_BadgerPendant_5001,Badger Pendant,Підвіска борсука
DC/Text_DesignData_Item_Item_BadgerPendant_6001,Badger Pendant,Підвіска борсука
DC/Text_DesignData_Item_Item_BadgerPendant_7001,Badger Pendant,Підвіска борсука
DC/Text_DesignData_Item_Item_Bandage_1001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_2001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_3001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_4001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_5001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_6001,Bandage,Бинт
DC/Text_DesignData_Item_Item_Bandage_7001,Bandage,Бинт
DC/Text_DesignData_Item_Item_BarbutaHelm_1001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_2001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_3001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_4001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_5001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_6001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_7001,Barbuta Helm,Шолом Барбута
DC/Text_DesignData_Item_Item_BarbutaHelm_RS,Rubysilver Barbuta Helm,Рубіновий срібний шолом Барбута
DC/Text_DesignData_Item_Item_BardicPants_1001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_2001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_3001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_4001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_5001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_6001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_BardicPants_7001,Bardic Pants,Штани Барда
DC/Text_DesignData_Item_Item_Bardiche_1001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_2001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_3001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_4001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_5001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_6001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_Bardiche_7001,Bardiche,Бердиш
DC/Text_DesignData_Item_Item_BareHandRight,Bare Hand Right,Голі руки направо
DC/Text_DesignData_Item_Item_BareHands,Bare Hands,Голі руки
DC/Text_DesignData_Item_Item_BatClaw,Bat Claw,Кажанячий кіготь
DC/Text_DesignData_Item_Item_BattleAxe_1001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_2001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_3001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_4001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_5001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_6001,Battle Axe,Бойова сокира
DC/Text_DesignData_Item_Item_BattleAxe_7001,Echo of Screams,Відлуння криків
DC/Text_DesignData_Item_Item_BearPendant_3001,Bear Pendant,Ведмежий кулон
DC/Text_DesignData_Item_Item_BearPendant_4001,Bear Pendant,Ведмежий кулон
DC/Text_DesignData_Item_Item_BearPendant_5001,Bear Pendant,Ведмежий кулон
DC/Text_DesignData_Item_Item_BearPendant_6001,Bear Pendant,Ведмежий кулон
DC/Text_DesignData_Item_Item_BearPendant_7001,Bear Pendant,Підвіска з ведмедиком
DC/Text_DesignData_Item_Item_BeetleWings,Beetle Wings,Крила жука
DC/Text_DesignData_Item_Item_BladeOfRighteousness_3001,Blade of Righteousness,Клинок Праведності
DC/Text_DesignData_Item_Item_BlueEyeballs,Blue Eyeballs,Блакитні очні яблука
DC/Text_DesignData_Item_Item_BlueSapphire_1001,Blue Sapphire (Cracked),Синій сапфір (тріснутий)
DC/Text_DesignData_Item_Item_BlueSapphire_2001,Blue Sapphire (Flawed),Блакитний сапфір (з дефектами)
DC/Text_DesignData_Item_Item_BlueSapphire_3001,Blue Sapphire (Normal),Блакитний сапфір (нормальний)
DC/Text_DesignData_Item_Item_BlueSapphire_4001,Blue Sapphire (Exquisite),Блакитний сапфір (вишуканий)
DC/Text_DesignData_Item_Item_BlueSapphire_5001,Blue Sapphire (Perfect),Блакитний сапфір (досконалий)
DC/Text_DesignData_Item_Item_BlueSapphire_6001,Blue Sapphire (Royal),Блакитний сапфір (королівський)
DC/Text_DesignData_Item_Item_BlueSapphire_7001,Blue Sapphire (Ultimate),Блакитний сапфір (найвищого ґатунку)
DC/Text_DesignData_Item_Item_Bolt_2001,Bolt,Болт
DC/Text_DesignData_Item_Item_Bone,Bone,Кістка
DC/Text_DesignData_Item_Item_Boneshaper_5001,Boneshaper,Костоправ
DC/Text_DesignData_Item_Item_BowOfRighteousness_3001,Bow of Righteousness,Лук Праведності
DC/Text_DesignData_Item_Item_Bowstring,Bowstring,Тятива
DC/Text_DesignData_Item_Item_BraveHunterPants_4001,Brave Hunter's Pants,Штани хороброго мисливця
DC/Text_DesignData_Item_Item_BrokenSkull,Broken Skull,Проломлений череп
DC/Text_DesignData_Item_Item_BuckledBoots_1001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_2001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_3001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_4001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_5001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_6001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_BuckledBoots_7001,Buckled Boots,Чоботи з пряжками
DC/Text_DesignData_Item_Item_Buckler_1001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_2001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_3001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_4001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_5001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_6001,Buckler,Буклер
DC/Text_DesignData_Item_Item_Buckler_7001,Delirium,Буклер
DC/Text_DesignData_Item_Item_BugShell,Bug Shell,Мушля Жук
DC/Text_DesignData_Item_Item_CampfireKit_1001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_2001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_3001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_4001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_5001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_6001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CampfireKit_7001,Campfire Kit,Набір для розведення багаття
DC/Text_DesignData_Item_Item_CandyCane,Candy Cane,Цукрова тростина
DC/Text_DesignData_Item_Item_CandyCorns,Candy Corn,Цукрова кукурудза
DC/Text_DesignData_Item_Item_CapturedManaFlakes,Captured Mana Flakes,Захоплені пластівці мани
DC/Text_DesignData_Item_Item_CastillonDagger_1001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_2001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_3001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_4001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_5001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_6001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CastillonDagger_7001,Castillon Dagger,Кастильський кинджал
DC/Text_DesignData_Item_Item_CentaurHoof,Centaur Hoof,Копито кентавра
DC/Text_DesignData_Item_Item_CentaurMadness_5001,Centaur's Madness,Божевілля кентавра
DC/Text_DesignData_Item_Item_CeremonialDagger_1001,Ceremonial Dagger (Cracked),Церемоніальний кинджал (Тріснутий)
DC/Text_DesignData_Item_Item_CeremonialDagger_2001,Ceremonial Dagger (Flawed),Церемоніальний кинджал (зіпсований)
DC/Text_DesignData_Item_Item_CeremonialDagger_3001,Ceremonial Dagger (Normal),Церемоніальний кинджал (звичайний)
DC/Text_DesignData_Item_Item_CeremonialDagger_4001,Ceremonial Dagger (Exquisite),Церемоніальний кинджал (Вишуканий)
DC/Text_DesignData_Item_Item_CeremonialDagger_5001,Ceremonial Dagger (Perfect),Церемоніальний кинджал (Досконалий)
DC/Text_DesignData_Item_Item_CeremonialDagger_6001,Ceremonial Dagger (Royal),Церемоніальний кинджал (Королівський)
DC/Text_DesignData_Item_Item_CeremonialDagger_7001,Ceremonial Dagger (Ultimate),Церемоніальний кинджал (Досконалий)
DC/Text_DesignData_Item_Item_CeremonialStaff_1001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_2001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_3001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_4001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_5001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_6001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_CeremonialStaff_7001,Ceremonial Staff,Церемоніальний посох
DC/Text_DesignData_Item_Item_ChampionArmor_1001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_2001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_3001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_4001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_5001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_6001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChampionArmor_7001,Champion Armor,Обладунки чемпіона
DC/Text_DesignData_Item_Item_ChapelDeFer_1001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_2001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_3001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_4001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_5001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_6001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_ChapelDeFer_7001,Chapel De Fer,Капеліна
DC/Text_DesignData_Item_Item_Chaperon_1001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_2001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_3001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_4001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_5001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_6001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_Chaperon_7001,Chaperon,Шаперон
DC/Text_DesignData_Item_Item_ClarityPotion_1001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_2001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_3001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_4001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_5001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_6001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_ClarityPotion_7001,Potion of Clarity,Зілля ясності
DC/Text_DesignData_Item_Item_CloakofDarkness_4001,Cloak of Darkness,Плащ темряви
DC/Text_DesignData_Item_Item_ClothPants_1001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_2001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_3001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_4001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_5001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_6001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_ClothPants_7001,Cloth Pants,Тканинні штани
DC/Text_DesignData_Item_Item_Club_1001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_2001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_3001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_4001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_5001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_6001,Club,Дубина
DC/Text_DesignData_Item_Item_Club_7001,Club,Дубина
DC/Text_DesignData_Item_Item_CobaltChapelDeFer_4001,Cobalt Chapel De Fer,Кобальтова капела де Фер
DC/Text_DesignData_Item_Item_CobaltFrock_4001,Cobalt Frock,Кобальтова сукня
DC/Text_DesignData_Item_Item_CobaltHat_4001,Cobalt Hat,Кобальтовий капелюх
DC/Text_DesignData_Item_Item_CobaltHeavyGauntlet_4001,Cobalt Heavy Gauntlet,Кобальтова важка рукавиця
DC/Text_DesignData_Item_Item_CobaltHood_4001,Cobalt Hood,Кобальтовий капюшон
DC/Text_DesignData_Item_Item_CobaltIngots_4001,Cobalt Ingot,Злиток кобальту
DC/Text_DesignData_Item_Item_CobaltLeatherGloves_4001,Cobalt Leather Gloves,Кобальтові шкіряні рукавички
DC/Text_DesignData_Item_Item_CobaltLightfootBoots_4001,Cobalt Lightfoot Boots,Черевики кобальтові легкі
DC/Text_DesignData_Item_Item_CobaltOres_4001,Cobalt Ore,Кобальтова руда
DC/Text_DesignData_Item_Item_CobaltPlateBoots_4001,Cobalt Plate Boots,Латні Чоботи з Кобальту
DC/Text_DesignData_Item_Item_CobaltPlatePants_4001,Cobalt Plate Pants,Латні Штани з Кобальту
DC/Text_DesignData_Item_Item_CobaltPowder_4001,Cobalt Powder,Кобальтовий порошок
DC/Text_DesignData_Item_Item_CobaltRegalGambeson_4001,Cobalt Regal Gambeson,Кобальтовий королівський гамбесон
DC/Text_DesignData_Item_Item_CobaltTemplarArmor_4001,Cobalt Templar Armor,Кобальтові обладунки тамплієрів
DC/Text_DesignData_Item_Item_CobaltTrousers_4001,Cobalt Trousers,Кобальтові штани
DC/Text_DesignData_Item_Item_CobaltVikingHelm_4001,Cobalt Viking Helm,Кобальтовий шолом вікінгів
DC/Text_DesignData_Item_Item_CockatricesLuckyFeather,Cockatrice’s Lucky Feather,Щасливе перо какаду
DC/Text_DesignData_Item_Item_CopperIngots_3001,Copper Ingot,Злиток міді
DC/Text_DesignData_Item_Item_CopperOres_3001,Copper Ore,Мідна руда
DC/Text_DesignData_Item_Item_CopperPowder_3001,Copper Powder,Мідний порошок
DC/Text_DesignData_Item_Item_CopperlightAttire_3001,Copperlight Attire,Мідне вбрання
DC/Text_DesignData_Item_Item_CopperlightGauntlets_3001,Copperlight Gauntlets,Латні Рукавиці з Міді
DC/Text_DesignData_Item_Item_CopperlightKettleHat_3001,Copperlight Kettle Hat,Шапка-Чайник з Міді
DC/Text_DesignData_Item_Item_CopperlightLeggings_3001,Copperlight Leggings,Легінси з Міді
DC/Text_DesignData_Item_Item_CopperlightLightfootBoots_3001,Copperlight Lightfoot Boots,Чоботи з Міді
DC/Text_DesignData_Item_Item_CopperlightOutfit_3001,Copperlight Outfit,Костюм з Міді
DC/Text_DesignData_Item_Item_CopperlightPants_3001,Copperlight Pants,Штани з Міді
DC/Text_DesignData_Item_Item_CopperlightPlateBoots_3001,Copperlight Plate Boots,Латні Чоботи з з Міді
DC/Text_DesignData_Item_Item_CopperlightPlatePants_3001,Copperlight Plate Pants,Латні Штани з Міді
DC/Text_DesignData_Item_Item_CopperlightRivetedGloves_3001,Copperlight Riveted Gloves,Клепані Рукавиці з Міді
DC/Text_DesignData_Item_Item_CopperlightSanctumPlateArmor_3001,Copperlight Sanctum Plate Armor,Пластинчаста Броня з Міді
DC/Text_DesignData_Item_Item_CopperlightShadowHood_3001,Copperlight Shadow Hood,Каптур з Міді
DC/Text_DesignData_Item_Item_CopperlightStrawHat_3001,Copperlight Straw Hat,Солом'яний Капелюх з Міді
DC/Text_DesignData_Item_Item_CopperlightTunic_3001,Copperlight Tunic,Туніка з Міді
DC/Text_DesignData_Item_Item_CowlofDarkness_4001,Cowl of Darkness,Накидка темряви
DC/Text_DesignData_Item_Item_Crossbow_1001,Crossbow,Арбалет
DC/Text_DesignData_Item_Item_Crossbow_2001,Crossbow,Арбалет
DC/Text_DesignData_Item_Item_Crossbow_3001,Crossbow,Арбалет
DC/Text_DesignData_Item_Item_Crossbow_4001,Crossbow,Арбалет
DC/Text_DesignData_Item_Item_Crossbow_5001,Crossbow,Арбалет!
DC/Text_DesignData_Item_Item_Crossbow_6001,Crossbow,Арбалет!
DC/Text_DesignData_Item_Item_Crossbow_7001,Crossbow,Арбалет!
DC/Text_DesignData_Item_Item_CrusaderArmor_1001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_2001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_3001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_4001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_5001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_6001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrusaderArmor_7001,Crusader Armor,Обладунки хрестоносців
DC/Text_DesignData_Item_Item_CrystalBall_1001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_2001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_3001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_4001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_5001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_6001,Crystal Ball,Кришталева куля
DC/Text_DesignData_Item_Item_CrystalBall_7001,Zirkzi’s Eye,Око Зіркі
DC/Text_DesignData_Item_Item_CrystalSword_1001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_2001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_3001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_4001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_5001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_6001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CrystalSword_7001,Crystal Sword,Кришталевий меч
DC/Text_DesignData_Item_Item_CursedCrown,Cursed Crown,Проклята корона
DC/Text_DesignData_Item_Item_CyclopsClub,Cyclops’s Club,Клуб циклопів
DC/Text_DesignData_Item_Item_CyclopsEye,Cyclops Eye,Око циклопа
DC/Text_DesignData_Item_Item_CyclopsRags,Cyclops Rags,Лахміття циклопа
DC/Text_DesignData_Item_Item_CyclopsVisionCrystal_5001,Cyclops Vision Crystal,Кришталь Зору Циклопа
DC/Text_DesignData_Item_Item_DaggerOfRighteousness_3001,Dagger of Righteousness,Кинджал Праведності
DC/Text_DesignData_Item_Item_DarkCuirass_1001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_2001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_3001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_4001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_5001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_6001,Dark Cuirass,Темна Кіраса
DC/Text_DesignData_Item_Item_DarkCuirass_7001,Dark Cuirass,Темна кіраса
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_1001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_2001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_3001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_4001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_5001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_6001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkLeatherLeggings_7001,Dark Leather Leggings,Темні Шкіряні Легінси
DC/Text_DesignData_Item_Item_DarkMatter,Dark Matter,Темна Матерія
DC/Text_DesignData_Item_Item_DarkPlateArmor_1001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_2001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_3001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_4001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_5001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_6001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkPlateArmor_7001,Dark Plate Armor,Темні Латні Обладунки
DC/Text_DesignData_Item_Item_DarkgroveHood_1001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_2001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_3001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_4001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_5001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_6001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveHood_7001,Darkgrove Hood,Капюшон Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveRobe_1001,Darkgrove Robe,Мантія Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveRobe_2001,Darkgrove Robe,Мантія Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveRobe_3001,Darkgrove Robe,Мантія Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveRobe_4001,Darkgrove Robe,Мантія Темного Гаю
DC/Text_DesignData_Item_Item_DarkgroveRobe_5001,Darkgrove Robe,Мантія Темного Гаю
