key,source,target
DC/Text_UI_WB_TabButton_LeaderBoard_Cleric,Cleric,Клірик
DC/Text_UI_v2_WB_MerchantPage_Craft,Craft,Ремесло
DC/Text_UI_WB_CharacterSelect_CharacterList_DeletedCharacter,Deleted {0},Видалено {0}
DC/Text_UI_WB_TabButton_LeaderBoard_Fighter,Fighter,Боєць
DC/Text_UI_WB_PlayUserInfo_GatheringHall,Gathering Hall,Зал зборів
DC/Text_UI_WB_Lobby_Recruit,"Gathering
Hall",Зал збору
DC/Text_UI_WB_Lobby_HighRollerLeaderboard,Leaderboard,Таблиця лідерів
DC/Text_UI_WB_CharacterSelect_CharacterList_DeleteCharacter_DoubleCheck_Desc,Enter the nickname of the character you want to delete.,Введіть нік персонажа котрого ви хочете видалити.
DC/Text_UI_WB_FramedPlayerInventory_Title,Inventory,Інвентар
DC/Text_UI_WB_Lobby_Merchants,Merchants,Торговці
DC/Text_UI_WB_KarmaMemberSlot_Karma_ClientMessage_NeedMoreKarmaReport,Need more Karma Reports.,Потрібно більше звітів про карму.
DC/Text_UI_WB_ClassGroup_PerkandSkill,Perk & Skill,Перки та навички
DC/Text_UI_WB_Lobby_Play,Play,Грати
DC/Text_UI_WB_KarmaReport_Description_06,Players with Red Names cannot report other players until they restore honor to their name.,"Гравці з червоними іменами не можуть доносити на інших гравців, поки не відновлять честь свого імені."
DC/Text_UI_v2_WB_MerchantPage_Quest,Quest,Квест
DC/Text_UI_WB_TabButton_LeaderBoard_Ranger,Ranger,Рейнджер
DC/Text_UI_WB_TabButton_LeaderBoard_Rogue,Rogue,Розбійник
DC/Text_UI_v2_WB_MerchantPage_Sell,Sell,Продати
DC/Text_UI_v2_WB_MerchantPage_Service,Service,Послуга
DC/Text_UI_WB_ClassGroup_Spell,Spell,Заклинання
DC/Text_UI_WB_Lobby_Stash,Stash,Схованка
DC/Text_UI_WB_ReportPlayerResultPopup_Announce,Thank you for your report.,Дякуємо за ваш звіт.
DC/Text_UI_WB_ReportPlayerResultPopup_Title,The following users have been banned:,Наступні користувачі були заблоковані:
DC/Text_UI_WB_Lobby_Trade,Trade,Торгівля
DC/Text_UI_v2_WB_MerchantPage_Trade,Trade,Торгівля
DC/Text_UI_WB_ClassGroup_Training,Training,Навчання
DC/Text_UI_WB_CharacterSelect_CharacterList_NicknameToDelete,Nickname here...,Нікнейм тут...
DC/Text_UI_WB_CharacterSelect_CharacterList_MismatchNicname,The nickname entered is different.,Введено інший нікнейм.
DC/Text_UI_WB_TabButton_LeaderBoard_Wizard,Wizard,Майстер
DC/Text_UI_WB_KarmaMemberSlot_Karma_ClientMessage_RedName,"You are Red Name, so cannot report other players.","Ви - Red Name, тому не можете повідомляти про інших гравців."
DC/Text_UI_WB_ReportPlayerResultPopup_TemporaryBanList,Temporary Ban List,Тимчасовий список банів
DC/Text_UI_WB_LoginSecretToken_Warning,"Please save your ‘Recovery Key’ below in a safe place.
This is the ONLY way to recover an account if you forget your password.
We will NOT be able to recover an account without this key!!!","Будь ласка, збережіть ваш ""Ключ відновлення"" нижче в безпечному місці.<br>Це ЄДИНИЙ спосіб відновити акаунт, якщо ви забули свій пароль.<br>Ми НЕ зможемо відновити акаунт без цього ключа!!!"
DC/Text_UI_WB_BtnDungeonList_DungeonNotSelected,- Dungeon is not selected -,- Підземелля не вибрано -
DC/Text_UI_WB_LeaderboardDetailPopup_Desc,"- Earn a ‘Seasonal Title’ through the dungeons.​

- Your Title is determined by the amount of Adventure Points (AP)
you accumulate during the season.​

- A separate ‘Title’ is calculated for each dungeon.
Your highest title is always displayed for your adventurer.​

- Earn AP by killing monsters, enemy players, opening chests and
escaping the dungeons.
AP is also determined by the value of the treasure loot that you
extract from the dungeons.
Going deeper into the dungeons, killing bosses and sub-bosses,
and looting rare chests give higher AP. ​

- An AP entry fee is subtracted from your total based on
your current Title each time you enter a dungeon. ​

- Dying in the dungeons forfeits all AP from that session.​

- Your in-game name and border will reflect your highest seasonal title.​","- Заробляйте ""Сезонний титул"", проходячи підземелля.

- Ваш титул визначається кількістю очок пригод (ОП), які ви накопичуєте протягом сезону.

- Для кожного підземелля розраховується окремий ""титул"".

Ваш найвищий титул завжди відображається для вашого авантюриста.

- Заробляйте AP, вбиваючи монстрів, ворожих гравців, відкриваючи скрині та втікаючи з підземель.
AP також визначається вартістю скарбів, які ви видобуваєте з підземель.
Заглиблення в підземелля, вбивство босів і суб-босів, а також пограбування рідкісних скринь дають вищий AP.

- Плата за вхід до підземелля віднімається від вашої загальної кількості, виходячи з вашого поточного звання, щоразу, коли ви входите до підземелля.

- Смерть у підземеллі позбавляє вас усього досвіду за цю сесію.

- Ваше ігрове ім'я та границя відображатимуть ваш найвищий сезонний титул."
DC/Text_UI_WB_DungeonSelect_HighRoller,- High Roller -,- Хайролер -
DC/Text_UI_WB_DungeonSelect_Normal,- Normal -,- Звичайний -
DC/Text_UI_WB_LeaderboardSheet_ViewDetails,- View Details -,- Переглянути деталі -
DC/Text_UI_WB_MarketplaceSellTable_Desc_03,"A non-refundable listing fee will be automatically
deducted to place your item on the marketplace.","За розміщення вашого предмета на ринку буде автоматично
вирахувано безповоротну плату, яка не підлягає поверненню."
DC/Text_UI_WB_LegendaryStatusBenefitSlot_Title_03,Sell Items on the Marketplace & Gain access to the Trading Post!,Можливість стати Торговцем!
DC/Text_UI_WB_SelectMyStatus_Absence,Away,Відійшов
DC/Text_UI_WB_MerchantDealTableQuest_Button_Accept,Accept,Прийняти
DC/Text_UI_v2_WB_InputNumber_PopupButton_Accept,Accept,Прийняти
DC/Text_UI_WB_InviteParty_AcceptAll,Accept all,Прийняти все
DC/Text_UI_WB_SquireStatusBenefitSlot_Title_01,Access only to the Normal dungeon,Доступ тільки до звичайного підземелля
DC/Text_UI_WB_LegendaryStatusBenefitSlot_Title_02,Access to the High-Roller Dungeons!,Доступ до підземель хайролерів!
DC/Text_UI_WB_InviteParty_SendHint,Account Name,Ім'я акаунта
DC/Text_UI_WB_CrossPlatformLinkPopup_Desc03,"Account has been successfully linked.
Please close the game and restart it.","Обліковий запис успішно прив'язано.
 Будь ласка, закрийте гру та перезапустіть її."
DC/Text_UI_WB_DungeonResult_AP_Title,Adventure Results,Результати пригоди
DC/Text_UI_WB_DungeonResultPopup_Title,Adventure Over,Пригода завершена
DC/Text_UI_WB_DungeonResult_GameOver,Adventure Over,Пригода завершена
DC/Text_UI_WB_MenuOptionsVideos_AntiAliasingSuperResolution_Title,AntiAliasing & Super Resolution,Згладжування та надвисока роздільна здатність
DC/Text_UI_WB_MenuOptionsVideos_AntiAliasingSuperResolution_Desc,AntiAliasing & Super Resolution,Згладжування та надвисока роздільна здатність
DC/Text_UI_WB_ItemTooltip_Info_Rarity_AnyRarity,Any,Будь-яка
DC/Text_UI_WB_MarketplacePurchaseGroup_Master00,"Are you sure you want to buy this item?
You have an excellent eye.","Ви впевнені, що хочете купити цей товар?
У вас чудовий окомір."
DC/Text_UI_WB_ArenaSelectSlot_Title,Arena,Арена
DC/Text_UI_WB_BtnDungeonList_Arena,Arena,Арена
DC/Text_UI_WB_DungeonSelect_Arena,Arena,Арена
DC/Text_UI_WB_LegendaryStatusPopup_ComingSoon,Available for purchase soon.,Незабаром буде доступний для покупки.
DC/Text_UI_WB_ShopAccountStatusUpgrade_ComingSoon,Available for purchase soon.,Незабаром буде доступний для покупки.
DC/Text_UI_WB_LeaderBoard_Score,Score,Оцінка
DC/Text_UI_WB_Credit_BackBtn,Back,Назад
DC/Text_UI_v2_WB_MerchantPage_BaseGear,Base Gear,Базове спорядження
DC/Text_UI_WB_MerchantDealTableBaseGear_SubTitle,Base Gear Set,Базовий комплект екіпіровки
DC/Text_UI_Text_UI_WB_LegendaryStatusBenefitSlot_Desc_03,Unlocks {0}hrs after ‘Legendary’ status is activated.,"Стає доступним через {0} годин після активації статусу ""Легендарний""."
DC/Text_UI_WB_InviteParty_Menu_Blocked,Blocked,Заблоковано
DC/Text_UI_WB_ViewMarketSlot_ButtonBuy,Buy,Купити
DC/Text_UI_WB_CrossPlatformLinkPopup_ButtonCancel02,Cancel,Скасувати
DC/Text_UI_WB_BtnKnightLink_Desc,Call on a Knight to help you through an adventure on our special Discord.,"Покличте Лицаря, щоб він допоміг вам пройти через пригоди на нашому спеціальному Розбраті."
DC/Text_UI_WB_SquireStatusBenefitSlot_Title_03,Can buy items from the marketplace,Можете купувати товари на маркетплейсі
DC/Text_UI_WB_TrainingPopupRedeemCheckLearning_CancelButton,Cancel,Скасувати
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_CancelBtn,Cancel,Відмінити
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_CancelButton,Cancel,Відмінити
DC/Text_UI_v2_WB_InputNumber_PopupButton_Cancel,Cancel,Відмінити
DC/Text_UI_WB_MarketplaceSellTable_ButtonCancel,Cancel Listing,Видалити оголошення
DC/Text_UI_WB_DungeonSelect_ChangesIn,Changes in,Зміни в
DC/Text_UI_WB_MenuOptionsControls_ChattingCategory,Chatting Options,Налаштування чату
DC/Text_UI_WB_CreatePlayerIDPopup_Check,Check,Перевіряти
DC/Text_UI_WB_TrainingRewardResult_ChoopseWisely,Choose Wisely,Вибирайте з розумом
DC/Text_UI_WB_TrainingLearningResult_ChooseWisely,Choose Wisely,Вибирайте з розумом
DC/Text_UI_WB_ViewMarket_SortButton_Class,Class,Клас
DC/Text_UI_WB_LeaderBoard_ClassandName,Class & Name,Клас та ім'я
DC/Text_UI_WB_CreatePlayerIDPopup_Clear,Clear,Ясний
DC/Text_UI_WB_CrossPlatformLinkPopup_ButtonClear,Clear,Ясний
DC/Text_UI_WB_Guide_PopupButton_Close,Close,Закрити
DC/Text_UI_WB_LegendaryStatusPopup_CloseBtn,Close,Закрити
DC/Text_UI_WB_ReportPlayerHR_Btn_Close,Cancel,Скасувати
DC/Text_UI_WB_MarketplaceTransferPayment_CloseListing,Close Listing,Закрити список
DC/Text_UI_WB_LegendaryStatusPopup_ComingVerySoon,Coming very soon!,Дуже скоро!
DC/Text_UI_WB_MasterClassListSlot_ComingSoon,Coming Soon...,Незабаром...
DC/Text_UI_WB_MerchantDealTableQuest_Button_Complete,Complete,Закінчено
DC/Text_UI_WB_MarketplacePurchaseGroup_ButtonDealText_WB_MarketplacePurchaseGroup_ButtonDeal,Complete Trade,Завершити торгівлю
DC/Text_UI_WB_QuestCompleteResultPopup_Button_Confirm,Confirm,Підтвердити
DC/Text_UI_WB_ShopMain_TabList_Cosmetics,Cosmetics,Косметика
DC/Text_UI_WB_CreatePlayerIDPopup_Create,Create,Створити
DC/Text_UI_WB_MarketplaceSellTable_ButtonListing,Create Listing,Створити список
DC/Text_UI_WB_CharacterSelectMain_CreditBtn,Credit,Автори
DC/Text_UI_WB_QuestLogWidget_QuestList,Current Quest List,Поточний список квестів
DC/Text_UI_WB_LeaderboardSheet_CurrentSeason,Current Season Timer ,Таймер поточного сезону
DC/Text_UI_WB_Lobby_Customize,Customize,Кастомізація
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_DLSS,DLSS,
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeDLSS_Desc,DLSS Mode,Режим DLSS
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeDLSS_Title,DLSS Mode,Режим DLSS
DC/Text_UI_WB_LoginVoipInitializePopup_Desc1,"Dark and Darker utilizes VoIP technology for an immersive gaming experience. If you would like to interact with other players using this technology, you can opt in below.","Dark and Darker використовує технологію VoIP для забезпечення захоплюючого ігрового досвіду. Якщо ви хочете взаємодіяти з іншими гравцями за допомогою цієї технології, ви можете увімкнути її нижче."
DC/Text_UI_WB_DeathcamResult_PlayBack,Death Cam Playback,Відтворення камери смерті
DC/Text_UI_WB_DeathCamWatchButton_Title,Death Cam,Повтор смерті
DC/Text_UI_WB_DungeonResult_AP_Deathcam,Death Cam,Камера смерті
DC/Text_UI_WB_DungeonResult_Deathcam,Death Cam,Камера смерті
DC/Text_UI_WB_SquireStatusBenefitSlot_Title_04,Default stash​,Схованка за замовчуванням
DC/Text_UI_WB_QuestRequirementFetch_DeliverBtn,Deliver Items,Доставити предмети
DC/Text_UI_WB_MarketplaceTransferPayment_Destroyed,Destroyed,Знищені
DC/Text_UI_WB_SellItemSlot_Destroyed,Destroyed,Знищені
DC/Text_UI_WB_DealTableBuyRecovery_RemainTime,Destroyed in,Знищено в
DC/Text_UI_WB_MarketplaceTransferPayment_DesytoyedIn,Destroyed in,Знищено в
DC/Text_UI_WB_ItemTooltip_PriceType_Discounted,Discounted,Зниженими
DC/Text_UI_WB_DungeonResultPopup_Desc,Do you want to keep spectating?,Хочете продовжувати спостерігати?
DC/Text_UI_WB_DungeonResult_GameOverDesc,Do you want to keep spectating?,Хочете продовжувати спостерігати?
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_ConfirmText,Do you want to use Reward Tokens to receive random rewards? ,Хочете використовувати жетони винагород для отримання випадкових винагород?
DC/Text_UI_WB_TrainingPopupRedeemCheckLearning_ConfirmText,Do you want to use learning tokens to learn the skills in that class? ,"Ви хочете використовувати навчальні жетони, щоб опанувати навички на цьому занятті? "
DC/Text_UI_WB_DeathcamPopup_Desc,Do you want to watch the death cam?,Хочете подивитися камеру смерті?
DC/Text_UI_WB_DungeonResult_AP_WatchDeathcam,Do you want to watch the death cam?,Хочете подивитися камеру смерті?
DC/Text_UI_WB_DungeonResult_YouDeadDesc,Do you want to watch the death cam?,Хочете подивитися камеру смерті?
DC/Text_UI_WB_CrossPlatformLinkPopup_ButtonOK02,Done,Зробити
DC/Text_UI_WB_InviteParty_UserSlot_Member_Dungeon,Dungeon,Темниця
DC/Text_UI_WB_LeaderboardDetailPopup_EntranceFee,"Dungeon
Entrance Fee (AP)","Плата за вхід у підземелля
(AP)"
DC/Text_UI_v2_WB_MerchantPage_DungeonRecoveries,Dungeon Recoveries,Відновлення підземелля
DC/Text_UI_WB_DeathcamResult_EndPlayBack,End of Playback,Кінець відтворення
DC/Text_UI_WB_Deathcam_EXIT,EXIT,ВИЙТИ
DC/Text_UI_WB_ShopMain_TriumphStoneDescription,Earn 1 Bluestone Shard each time you level up your Triumph Level. Each successive Triumph Level requires more effort to level up. Gain Triumph EXP for successfully extracting from a dungeon. The amount of EXP you earn is based on the dungeon type and floor you extract from.,"Заробляйте 1 уламок Bluestone щоразу, коли підвищуєте свій рівень тріумфу. Кожен наступний рівень тріумфу вимагає більше зусиль для підвищення рівня. Отримуйте досвід тріумфу за успішне вихід із підземелля. Кількість досвіду, який ви заробляєте, залежить від типу підземелля та поверху, з якого ви виходите."
DC/Text_UI_WB_TavernStartTimer_TimeLeft1,Enjoy your adventure,Насолоджуйтесь пригодами
DC/Text_UI_WB_CrossPlatformLinkPopup_EnterCodeHint,Enter Code,Введіть код
DC/Text_UI_WB_MerchantFilter_EnterTextToFind,Enter text to find,"Введіть текст, щоб знайти"
DC/Text_UI_WB_ViewMarketFilter_EnterTextToFind,Enter text to find,"Введіть текст, щоб знайти"
DC/Text_UI_WB_MerchantDealTableBaseGear_BtnEquip,Equip Base Gear,Обладнайте базове спорядження
DC/Text_UI_WB_DungeonResult_AP_EscapeMod,Escape Multiplier,Множник втечі
DC/Text_UI_WB_MarketplaceSellTable_Expired,Expired,Минув
DC/Text_UI_WB_SellItemSlot_Expired,Expired,Минув
DC/Text_UI_WB_MarketplaceSellTable_ExpiresIn,Expires in,Термін дії
DC/Text_UI_WB_ViewMarket_SortButton_ExpiresIn,Expires in,Термін дії
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_FSR2,FSR2,
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeFSR2_Desc,FSR2 Mode,Режим FSR2
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeFSR2_Title,FSR2 Mode,Режим FSR2
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_FXAA,FXAA,
DC/Text_UI_WB_Menu_FailedLoadPlaytime,Failed to load play time,Не вдалося завантажити час відтворення
DC/Text_UI_WB_CharacterLevelFame_Fame,Fame,Слави
DC/Text_UI_WB_KarmaReport_Fame,Fame,Слави
DC/Text_UI_WB_PlayUserInfo_Fame,Fame,Слави
DC/Text_UI_WB_MarketplacePurchaseGroup_ButtonDealText_WB_MarketplacePurchaseGroup_ButtonFill,Fill All Items,Заповнити предметами
DC/Text_UI_WB_QuestRequirementFetch_FillBtn,Fill All Items,Заповнити предметами
DC/Text_UI_WB_DealTableBuyRecovery_FillBtn,Fill In All Stash,Заповнити предметами
DC/Text_UI_WB_InviteParty_FindIDHint_01,Find Account Name,Знайти ім'я облікового запису
DC/Text_UI_WB_InviteParty_FindIDHint_02,Find Account Name,Знайти ім'я облікового запису
DC/Text_UI_WB_InviteParty_FindIDHint_03,Find Account Name,Знайти ім'я облікового запису
DC/Text_UI_WB_DealTableMindwipe_ForgetBtn,Forget all abilities,Забудьте про всі здібності
DC/Text_UI_WB_LegendaryStatusPopup_FreeAccount,Free Account,Безкоштовний акаунт
DC/Text_UI_WB_MailboxInventory_FriendPrivacy,Allow Friend Invites,Дозволити запрошення друзів
DC/Text_UI_WB_InviteParty_Menu_Friends,Friends,Друзі
DC/Text_UI_WB_InviteParty_FriendsList,Friends List,Список друзів
DC/Text_UI_WB_Menu_GRAC,GRAC,ГРАК
DC/Text_UI_WB_InventoryGearScore_GearScore,Gear Score,Рівень Спорядження
DC/Text_UI_WB_InviteParty_Menu_GetInvited,My Invitations,Мої запрошення
DC/Text_UI_WB_Arena_WelcomeRoundStartSoon,Get ready!,Приготуйтеся!
DC/Text_UI_WB_DealTableBuyRecovery_Fill_Desc,Gets items from all inventory and stash.,Дістає предмети з усього інвентарю та схованки.
DC/Text_UI_WB_MerchantShortcutPopup_Button_GoSquire,Go to Squire,Ідіть до сквайра
DC/Text_UI_WB_LegendaryStatusPopup_GoToShopBtn,Go to shop,Піти в магазин
DC/Text_UI_WB_BtnDungeonList_GoblinHighRoller,The Goblin Caves : High-Roller,Печери Гоблінів: Хай-Ролер
DC/Text_UI_WB_CrossPlatformLinkPopup_Desc01,"Have you played Dark and Darker before on
another platform?","Ви раніше грали в Dark and Darker на
іншій платформі?

Це ваш єдиний шанс перенести свій
прогрес з іншої платформи."
DC/Text_UI_WB_MarketplaceSell_MasterText_Default,Here's a list of the items that you've delegated to me to sell. How else can I help you?,"Ось список товарів, які ви делегували мені для продажу. Чим ще я можу вам допомогти?"
DC/Text_UI_WB_DungeonSelectSlot_Goblin_HighRoller,High-Roller,Хайролер
DC/Text_UI_WB_DungeonSelectSlot_IceCavern_HighRoller,High-Roller,Хайролер
DC/Text_UI_WB_DungeonSelectSlot_Ruins_HighRoller,High-Roller,Хайролер
DC/Text_UI_WB_DungeonSelect_Level_HighRoller_Characteristics_3,Level Required for High Roller: {0},Рівень необхідний для Хайролера {0}
DC/Text_UI_WB_LoginVoipInitializePopup_Hotkey,Hotkey,Гаряча клавіша
DC/Text_UI_WB_MerchantItemBase_NotEnoughAffinity,Increase your affinity to ‘{0}’ to improve the grade of this item.​​,"Збільште свою прихильність до «{0}», щоб покращити оцінку цього предмета."
DC/Text_UI_WB_LeaderBoard_WipeSoon,It's very soon!,Це вже зовсім скоро!
DC/Text_UI_WB_ViewMarket_SortButton_ItemName,Item Name,Назва товару
DC/Text_UI_WB_DealTableBuyRecovery_Cost,Item required from you to complete the deal,"Предмет, необхідний від вас для завершення угоди"
DC/Text_UI_WB_DealTableBuyRecovery_Item2Recovery,Item to purchase,Товар для покупки
DC/Text_UI_WB_ReportPlayerHighRoller_Killer,Killer,Вбивця
DC/Text_UI_WB_CrossPlatformLinkPopup_Title,Link a Previous Account,Останній шанс на обліковий запис Link
DC/Text_UI_WB_LeaderboardSheet_Leaderboard,Leaderboard,Таблиця лідерів
DC/Text_UI_WB_BtnRedeemLearning_LearningTokens,Learning Tokens,Навчальні жетони
DC/Text_UI_WB_LearningTokensPanel_LearningTokens,Learning Tokens,Навчальні жетони
DC/Text_UI_WB_AccountStatus_Legendary,Legendary,Легендарний
DC/Text_UI_WB_ShopAccountStatusUpgradeComplete_Legendary,Legendary,Легендарний
DC/Text_UI_WB_LegendaryStatusPopup_LegendaryStatus,Legendary Status,Легендарний статус
DC/Text_UI_WB_LegendaryStatusPopup_Title,Upgrade your account to Legendary Status!,Оновіть свій обліковий запис до легендарного статусу!
DC/Text_UI_WB_ShopMain_LegendaryStatusTitle,Upgrade your account to Legendary Status!,Оновіть свій обліковий запис до легендарного статусу!
DC/Text_UI_WB_ShopMain_TabList_LegendaryStatus,Legendary Status,Легендарний статус
DC/Text_UI_WB_TradeMembershipSubscriptionGroup_Legendary,Legendary Status: <Gold>Buy and Sell items on the Marketplace and access the Trading Post.</>,Легендарний статус: <Gold>Купуйте та продавайте предмети на Ринку та отримуйте доступ до Торгового Посту.
DC/Text_UI_WB_DungeonSelect_RotateSoon,Less than 1 min,Менше 1 хв
DC/Text_UI_WB_TavernStartTimer_TimeLeft2,Less than {0} minutes,Менше {0} хвилин
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_SubTitle,Levelup Reward,Нагорода за підвищення рівня
DC/Text_UI_WB_CrossPlatformLinkPopup_ButtonLink,Link Account,Зв'язати обліковий запис
DC/Text_UI_WB_MenuOptionsLink_Title_02,Link-Code,Посилання-код
DC/Text_UI_WB_MenuOptionsLink_Title_01,Linked Platforms,Пов'язані платформи
DC/Text_UI_WB_MarketplaceSellTable_Title,List an Item,Перелічити елемент
DC/Text_UI_WB_SellItemSlot_ListanItem,List an Item,Перелічити елемент
DC/Text_UI_WB_MarketplaceSellTable_ListingFee,Listing Fee :,Плата за лістинг:
DC/Text_UI_WB_MarketplaceSellTable_ListingComplete,Listing complete,Лістинг завершено
DC/Text_UI_WB_InviteParty_UserSlot_Member_Lobby,Lobby,Лобі
DC/Text_UI_WB_LobbyEmoteKeyGuid_GuidText,Lobby Emote Wheel,Колесо емоцій лобі
DC/Text_UI_WB_ItemTooltip_ItemLootState,Loot State,Стан
DC/Text_UI_v2_WB_ItemTooltip_Info_ItemLootState,Loot State,Стан
DC/Text_UI_WB_CharacterSelect_CharacterSlot_LevelFormat,Lv. {0},Рв. {0}
DC/Text_UI_WB_CurrentClassLevelPanel_LevelFormat,Lv. {0},Рв. {0}
