key,source,target
DC/Text_DesignData_Quest_Alchemist_Greeting_10,"The path ahead is fraught with peril, but fear not. The Golden Chests within the Goblin Caves offer the gear you need to face it.","Шлях, що лежить попереду, сповнений небезпек, але не бійтеся. У золотих скринях в печерах Гоблінів ви знайдете все необхідне для того, щоб витримати її."
DC/Text_DesignData_Quest_Alchemist_Greeting_11,"Here, amidst the darkness and chaos, your mettle will be tested as you strive to survive against the odds. Remember, every trial you overcome brings you one step closer, as you grow stronger, and you become more prepared for what lies ahead.","Тут, серед темряви та хаосу, ви будете випробовувати себе на міцність, намагаючись вижити всупереч обставинам. Пам'ятайте, що кожне випробування, яке ви долаєте, наближає вас на крок до мети, оскільки ви стаєте сильнішими і більш підготовленими до того, що чекає на вас попереду."
DC/Text_DesignData_Quest_Alchemist_Greeting_12,"As you stand on the precipice of battle, know that you are not alone. Your courage and strength will be your greatest allies in the trials that lie ahead. May fortune favor you in the coming skirmishes.","Коли ви стоїте на порозі битви, знайте, що ви не самі. Ваша мужність і сила стануть вашими найбільшими союзниками у випробуваннях, які чекають на вас попереду. Нехай фортуна буде прихильною до вас у майбутніх сутичках."
DC/Text_DesignData_Quest_Alchemist_Title_01,A Father’s Legacy,Батьківська спадщина
DC/Text_DesignData_Quest_Alchemist_Title_02,Golden Opportunity,Золота можливість
DC/Text_DesignData_Quest_Alchemist_Title_03,Frozen Secrets,Заморожені таємниці
DC/Text_DesignData_Quest_Alchemist_Title_04,In The Walls,У стінах
DC/Text_DesignData_Quest_Alchemist_Title_05,Mystic Inquiries,Містичні розслідування
DC/Text_DesignData_Quest_Alchemist_Title_06,Odd Ingredients,Дивні інгредієнти
DC/Text_DesignData_Quest_Alchemist_Title_07,Potion Trials,Випробування зілля
DC/Text_DesignData_Quest_Alchemist_Title_08,Winged Nuisances,Крилаті неприємності
DC/Text_DesignData_Quest_Alchemist_Title_09,Sovereign's Curse,Прокляття володаря
DC/Text_DesignData_Quest_Alchemist_Title_10,Lion's Lair,Лігво Лева
DC/Text_DesignData_Quest_Alchemist_Title_11,Endure And Prevail,Вистояти і перемогти
DC/Text_DesignData_Quest_Alchemist_Title_12,Battling Behemoths,Битва з бегемотами
DC/Text_DesignData_Quest_Armourer_Complete_01,"I used to be hailed as a hero, yet inside, I was anything but. Crafting armor for adventurers as brave as you, it's my way of making amends.","Колись мене називали героєм, але в душі я був зовсім іншим. Виготовлення обладунків для таких відважних шукачів пригод, як ти, - мій спосіб загладити свою провину."
DC/Text_DesignData_Quest_Armourer_Complete_02,"Your courage is undeniable. Hearing of your battles stirs memories of my own past, times I regret not being braver. I've faced war, but the scars that linger most are hidden within.","Твоя хоробрість незаперечна. Коли я чую про ваші битви, я згадую своє минуле і шкодую, що не був хоробрішим. Я стикався з війною, але шрами, які залишаються найдовше, заховані всередині."
DC/Text_DesignData_Quest_Armourer_Complete_03,"Escaping or running away? Let them wonder. You've proven yourself capable, and that's what matters.","Втеча чи втеча? Нехай дивуються. Ти довів, що здатен, і це головне."
DC/Text_DesignData_Quest_Armourer_Complete_04,"The legends of silver are known far and wide, but the secrets of this crimson ore are yet untold.","Легенди про срібло відомі звідусіль, але таємниці цієї багряної руди ще не розгадані."
DC/Text_DesignData_Quest_Armourer_Complete_05,Here is a reward for facing those scoundrels. Try not to spend it all in one place.,"Ось нагорода за те, що ви протистояли цим негідникам. Намагайтеся не витрачати її всю в одному місці."
DC/Text_DesignData_Quest_Armourer_Complete_06,It's remarkable how much one person can inspire another. Your influence has set me on a path of self-discovery and growth. Thank you for being that guiding light.,"Дивно, як сильно одна людина може надихнути іншу. Ваш вплив поставив мене на шлях самопізнання і зростання. Дякую тобі за те, що ти є тим дороговказом."
DC/Text_DesignData_Quest_Armourer_Complete_07,"The ever-reliable adventurer! Your efforts ensure our readiness against the encroaching shadows. Together, we'll make quite the formidable team.","Завжди надійний шукач пригод! Твої зусилля забезпечують нашу готовність протистояти тіням, що насуваються. Разом ми складаємо досить грізну команду."
DC/Text_DesignData_Quest_Armourer_Complete_08,Your ability to evade danger has been tested and proven you are ready.,"Твоє вміння уникати небезпеки було перевірено і доведено, що ти готовий."
DC/Text_DesignData_Quest_Armourer_Complete_09,"You provided us with a moment's respite from the shadows. We are indebted to your bravery, Adventurer.","Ви дозволили нам на мить вирватися з тіні. Ми завдячуємо твоїй хоробрості, шукачу пригод."
DC/Text_DesignData_Quest_Armourer_Greeting_01,"Greetings, adventurer! I require Cobalt Ingots. They forge sturdy armor, the type I wish I had possessed years ago. It was a dark period I'd prefer not to delve into extensively, but I will mention that perhaps with more reliable armor, I might have found the courage to confront my fears directly.","Вітаю, шукач пригод! Мені потрібні злитки кобальту. З них кують міцні обладунки, такі, які я хотів би мати багато років тому. Це був темний період, про який я не хочу згадувати, але зазначу, що, можливо, маючи більш надійні обладунки, я б знайшов у собі сміливість протистояти своїм страхам прямо і відверто."
DC/Text_DesignData_Quest_Armourer_Greeting_02,"They say there's bravery in confronting what haunts you. I've faced battles myself, although in ways I'm not exactly proud of... Perhaps a tussle with the undead will clear your conscience of any skeletons lurking in the recesses of your mind.","Кажуть, що хоробрість полягає в тому, щоб протистояти тому, що тебе переслідує. Я й сам брав участь у битвах, хоча й не зовсім так, як я пишаюся цим... Можливо, сутичка з нежиттю очистить вашу совість від скелетів, що причаїлися в закапелках вашого розуму."
DC/Text_DesignData_Quest_Armourer_Greeting_03,They say fortune favors the prepared. What better way to be prepared than to master the art of escape? Ignore the rumors.,"Кажуть, фортуна прихильна до підготовлених. А як краще підготуватися, ніж оволодіти мистецтвом втечі? Не зважайте на чутки."
DC/Text_DesignData_Quest_Armourer_Greeting_04,"As you venture forth into the depths, keep an eye out for the precious Rubysilver Ore. Its fiery hue mirrors the flames of my forge. We could use it for the battles yet to come.","Відважившись спуститися на глибину, не забувайте про дорогоцінну Рубінову Руду. Її вогняний відтінок віддзеркалює полум'я моєї кузні. Вона знадобиться нам у майбутніх битвах."
DC/Text_DesignData_Quest_Armourer_Greeting_05,The shadows of the Goblin Caves conceal more than just treasure. Seek out other adventurers lurking within and restore order to these darkened halls.,"Тіні Гоблінських печер приховують більше, ніж просто скарби. Розшукайте інших шукачів пригод, що ховаються в них, і відновіть порядок у цих темних залах."
DC/Text_DesignData_Quest_Armourer_Greeting_06,"Prepare yourself, for the elite goblin warriors lurk nearby, eager to prove their strength in combat. But I have faith in you.","Приготуйтеся, адже неподалік ховаються елітні воїни-гобліни, які прагнуть довести свою силу в бою. Але я вірю в вас."
DC/Text_DesignData_Quest_Armourer_Greeting_07,"Salutations! The shadows and monsters lurking within grow stronger, but so do we. Help me prepare so that we can equip ourselves and our brethren for the trials ahead.","Вітаю вас! Тіні і монстри, що ховаються всередині, стають сильнішими, але і ми теж. Допоможи мені підготуватися, щоб ми могли озброїти себе і наших братів для майбутніх випробувань."
DC/Text_DesignData_Quest_Armourer_Greeting_08,"To prepare for our upcoming battle with the Lich, we must first ensure your agility and stealth.","Щоб підготуватися до нашої майбутньої битви з Ліхом, ми повинні спочатку забезпечити твою спритність і невидимість."
DC/Text_DesignData_Quest_Armourer_Greeting_09,We stand on the precipice of our greatest challenge yet; your bravery is needed more than ever. Time to look upon one of the many faces of death.,Ми стоїмо на порозі нашого найбільшого виклику; ваша відвага потрібна нам як ніколи. Час поглянути на одне з багатьох облич смерті.
DC/Text_DesignData_Quest_Armourer_Title_01,Mining For Piece of Mind,У пошуках душевної рівноваги
DC/Text_DesignData_Quest_Armourer_Title_02,Facing Your Fears,Обличчям до обличчя зі своїми страхами
DC/Text_DesignData_Quest_Armourer_Title_03,Not A Coward,Не боягуз
DC/Text_DesignData_Quest_Armourer_Title_04,Fire Within,Вогонь всередині
DC/Text_DesignData_Quest_Armourer_Title_05,Braving The Shadows,Хоробрість тіней
DC/Text_DesignData_Quest_Armourer_Title_06,Green-Skinned Scum,Зеленошкірі покидьки
DC/Text_DesignData_Quest_Armourer_Title_07,Quality Over Quantity,Якість важливіша за кількість
DC/Text_DesignData_Quest_Armourer_Title_08,Unscathed Escape,Втеча неушкодженим
DC/Text_DesignData_Quest_Armourer_Title_09,Beyond Death’s Grasp,Поза межами смерті
DC/Text_DesignData_Quest_FortuneTeller_Complete_01,"I hope you didn't think these items were going in the actual brew. No, no, these items aren't for the mixture itself, but for the fire that heats it. Every detail matters in magical concoctions, even the fuel for the flames.","Сподіваюся, ви не подумали, що ці предмети підуть у вариво. Ні, ні, ці предмети не для самої суміші, а для вогню, який її підігріває. У магічному вариві важлива кожна деталь, навіть паливо для полум'я."
DC/Text_DesignData_Quest_FortuneTeller_Complete_02,"Your escapes from the caves have shed more light on the alignment of your destiny. Yet, some revelations are best kept veiled, allowing you to navigate your path without undue influence.","Ваші втечі з печер пролили більше світла на те, як склалася ваша доля. Проте деякі одкровення краще тримати завуальованими, щоб ви могли йти своїм шляхом без зайвого впливу."
DC/Text_DesignData_Quest_FortuneTeller_Complete_03,"Slowly but surely the veil is being pulled back. Embracing your spiritual journey requires patience; rest assured that as you progress, uncovering hidden truths will prove invaluable for your future.","Повільно, але впевнено завіса відсувається назад. Прийняття вашої духовної подорожі вимагає терпіння; будьте певні, що в міру того, як ви просуваєтеся вперед, відкриття прихованих істин виявиться безцінним для вашого майбутнього."
DC/Text_DesignData_Quest_FortuneTeller_Complete_04,"Your presence exudes a heightened energy, as if the very essence of Eba flows more freely within you. But tread carefully, for the path ahead stretches far and the forces of darkness will now sense your strength.","Ваша присутність випромінює підвищену енергію, ніби сама сутність Еба вільніше тече всередині вас. Але ступай обережно, бо шлях попереду простягається далеко, і сили темряви тепер відчують твою силу."
DC/Text_DesignData_Quest_FortuneTeller_Complete_05,"As an adventurer, the path you tread is not without its costs. But today, the fates have smiled upon you. Embrace this boon, for it signifies their desire for you to continue along this path.","Як шукач пригод, шлях, яким ти йдеш, не обходиться без жертв. Але сьогодні доля посміхнулася вам. Прийми цей дар, бо він означає їхнє бажання, щоб ти продовжував йти цим шляхом."
DC/Text_DesignData_Quest_FortuneTeller_Complete_06,"Do not fear the unknown. Though the path ahead may be shrouded in darkness, find comfort in knowing there is something much more powerful at play here. The universe has chosen you for a reason; trust in its wisdom.","Не бійтеся невідомості. Хоча шлях, що лежить попереду, може бути оповитий темрявою, знайдіть втіху в тому, що за ним стоїть щось набагато могутніше. Всесвіт обрав вас не просто так; довіртеся його мудрості."
DC/Text_DesignData_Quest_FortuneTeller_Complete_07,"As the torches dim, so too do the veils of illusion that cloak the secrets of this place. Your journey into darkness has only just begun.","Як тьмяніють смолоскипи, так само тьмяніють і завіси ілюзії, що приховують таємниці цього місця. Ваша подорож у темряву тільки почалася."
DC/Text_DesignData_Quest_FortuneTeller_Complete_08,"May your path now be free from their entanglements, both literal and metaphorical.","Нехай тепер ваш шлях буде вільним від їхніх тенет, як буквальних, так і метафоричних."
DC/Text_DesignData_Quest_FortuneTeller_Complete_09,"As the night wanes, so too does the grip of darkness. Your bravery has temporarily dispelled its shadowy reign.",З настанням ночі слабшає і влада темряви. Ваша хоробрість тимчасово розвіяла її тіньове панування.
DC/Text_DesignData_Quest_FortuneTeller_Complete_10,"As the last echoes of battle wane, the veiled ones' screams rise, a chorus of calls. Are they cries for aid or warnings of your fate?","Коли стихають останні відгомони битви, лунають крики тих, хто в завісах, хор закликів. Це крики про допомогу чи попередження про вашу долю?"
DC/Text_DesignData_Quest_FortuneTeller_Complete_11,"Are you familiar with the ancient tales that speak of the premonitions accompanying a Strix's visit? In any case, thank you for your help.","Чи знайомі ви з давніми казками, які розповідають про передчуття, що супроводжують візит Стрикса? У будь-якому випадку, дякуємо за допомогу."
DC/Text_DesignData_Quest_FortuneTeller_Complete_12,"Did you catch that? Even the air is buzzing with anticipation, like before a storm. We've got to be ready. Trust your instincts, and let's make sure we're not caught off guard when whatever's brewing decides to rear its head.","Ви це чули? Навіть повітря гуде від передчуття, як перед бурею. Ми повинні бути готові. Довіртеся своїм інстинктам, і давайте переконаємося, що ми не будемо захоплені зненацька, коли те, що назріває, вирішить підняти голову."
DC/Text_DesignData_Quest_FortuneTeller_Complete_13,"The webs of fate are spinning as we speak. Be careful, some paths are venomous.","Павутиння долі прядеться, поки ми говоримо. Будьте обережні, деякі шляхи отруйні."
DC/Text_DesignData_Quest_FortuneTeller_Complete_14,"Within the stars lie the answers to life's greatest mysteries, and it is your destiny to unravel them.","У зорях лежать відповіді на найбільші таємниці життя, і ваша доля - розгадати їх."
DC/Text_DesignData_Quest_FortuneTeller_Complete_15,"I hope we won't need these, but everyone else is preparing. We should too.","Сподіваюся, нам це не знадобиться, але всі інші готуються. Ми теж повинні."
DC/Text_DesignData_Quest_FortuneTeller_Greeting_01,A goblin friend of mine needs a special brew; he's coming down with a nasty case of goblin pox. I need your help to gather the necessary items to help ease his suffering.,"Моєму другові-ґобліну потрібне особливе вариво; він захворів на страшну хворобу - ґоблінську віспу. Мені потрібна ваша допомога, щоб зібрати все необхідне для полегшення його страждань."
DC/Text_DesignData_Quest_FortuneTeller_Greeting_02,"It appears our fates are intertwined once again. To better understand your journey, I must determine the accuracy of my divinatory tools. Escape from the caves a few times so I can ascertain which one resonates most accurately with your path.","Здається, наші долі знову переплелися. Щоб краще зрозуміти твою подорож, я повинен визначити точність моїх ворожбитських інструментів. Втечи з печери кілька разів, щоб я міг визначити, яка з них найточніше резонує з твоїм шляхом."
DC/Text_DesignData_Quest_FortuneTeller_Greeting_03,"You're back, just as my crystal ball predicted you would be. Are you ready to start the journey to peer into the veiled realms of possibility? You must proceed by delving into the depths of the Goblin Caves, confronting the eerie denizens that dwell within.","Ти повернувся, як і передбачила моя кришталева куля. Чи готовий ти розпочати подорож, щоб зазирнути в завуальовані царства можливостей? Ти повинен заглибитися в глибини печер Гоблінів, протистоячи моторошним мешканцям, що живуть там."
